2020-09-22 09:43:06.226 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-22 09:43:19.502 | INFO     | G_COMM.runXinguan:__init__:40 - 程序运行参数为：{'task_type': '新冠病毒-测序', 'task_name': '高通量测序', 'sample_list': ['test'], 'barcode_list': ['barcode01'], 'file_path': 'D:/智源代码/高通量测序', 'work_file': 'D:/智源代码/高通量测序/file'}
2020-09-22 09:43:20.851 | INFO     | mainwindow:do_xinguan:457 - flag为1
2020-09-22 09:43:20.864 | INFO     | G_COMM.runXinguan:run:334 - 命令开始执行，路径如下D:/智源代码/高通量测序
2020-09-22 09:43:20.865 | INFO     | G_COMM.runXinguan:run:335 - 开始运行第一条命令
2020-09-22 09:43:20.865 | INFO     | G_COMM.runXinguan:first_comm:90 - 命令如下：guppy_basecaller -c dna_r9.4.1_450bps_hac.cfg -i D:/智源代码/高通量测序/fast5/ -s D:/智源代码/高通量测序/file/高通量测序/2.fastq -x auto -r
2020-09-22 09:43:20.890 | ERROR    | G_COMM.runXinguan:first_comm:114 - 高通量测序 guppy_basecaller执行失败！：Command 'guppy_basecaller -c dna_r9.4.1_450bps_hac.cfg -i D:/智源代码/高通量测序/fast5/ -s D:/智源代码/高通量测序/file/高通量测序/2.fastq -x auto -r' returned non-zero exit status 1.
2020-09-22 09:43:46.236 | INFO     | G_COMM.runSnakemake:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-序列分析', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-22 09:43:47.361 | INFO     | G_COMM.runSnakemake:copy_file:73 - 复制文件的命令如下：cp D:/智源代码/高通量测序/G_CONFIG/nextstrain_analysis_strain.py D:/智源代码/高通量测序/fast5
2020-09-22 09:43:47.365 | INFO     | G_COMM.runSnakemake:nuoru_comm:143 - 命令如下：snakemake -s D:/智源代码/高通量测序/fast5/nextstrain_analysis_strain.py --config path=D:/智源代码/高通量测序/fast5 -j 4 -F
2020-09-22 09:44:36.155 | INFO     | G_COMM.runSnakemake:__init__:31 - 程序运行参数为：{'task_type': '诺如病毒', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-22 09:44:37.310 | ERROR    | mainwindow:do_snakemake:515 - 数据库删除失败：[WinError 267] 目录名称无效。: 'D:/智源代码/高通量测序/fast5/sewageNoVtyping_Corpath.py'
2020-09-22 09:44:37.315 | INFO     | G_COMM.runSnakemake:copy_file:73 - 复制文件的命令如下：cp D:/智源代码/高通量测序/G_CONFIG/sewageNoVtyping_Corpath.py D:/智源代码/高通量测序/fast5
2020-09-22 09:44:37.322 | INFO     | G_COMM.runSnakemake:nuoru_comm:143 - 命令如下：snakemake -s D:/智源代码/高通量测序/fast5/sewageNoVtyping_Corpath.py --config path=D:/智源代码/高通量测序/fast5 -j 4 -F
2020-09-22 09:45:05.399 | INFO     | G_COMM.runWeizhi:__init__:32 - 程序运行参数为：{'task_type': '未知病原', 'task_name': '测试', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/数据采集/测试', 'work_file': 'D:/智源代码/高通量测序/file'}
2020-09-22 09:45:06.404 | INFO     | G_COMM.runWeizhi:merge_file:89 - 合并文件的命令如下：cat D:/智源代码/数据采集/测试/fastq_pass/barcode21/*.fastq > D:/智源代码/高通量测序/file/测试/2.fastq/barcode21.fastq
2020-09-22 09:45:06.407 | INFO     | G_COMM.runWeizhi:secnod_comm:123 - 命令如下：centrifuge -p 8 -x /public/hpvc -U D:/智源代码/高通量测序/file/测试/2.fastq/barcode21.fastq -S D:/智源代码/高通量测序/file/测试/3.classify/barcode21.tsv --report-file D:/智源代码/高通量测序/file/测试/3.classify/barcode21_report.tsv
2020-09-22 09:45:06.411 | INFO     | G_COMM.runWeizhi:thi_comm:157 - 命令如下：centrifuge-kreport -x /public/hpvc D:/智源代码/高通量测序/file/测试/3.classify/barcode21_report.tsv > D:/智源代码/高通量测序/file/测试/4.report/barcode21_kraken.tsv
2020-09-22 09:45:16.417 | INFO     | G_COMM.runWeizhi:merge_file:89 - 合并文件的命令如下：cat D:/智源代码/数据采集/测试/fastq_pass/barcode22/*.fastq > D:/智源代码/高通量测序/file/测试/2.fastq/barcode22.fastq
2020-09-22 09:45:16.422 | INFO     | G_COMM.runWeizhi:secnod_comm:123 - 命令如下：centrifuge -p 8 -x /public/hpvc -U D:/智源代码/高通量测序/file/测试/2.fastq/barcode22.fastq -S D:/智源代码/高通量测序/file/测试/3.classify/barcode22.tsv --report-file D:/智源代码/高通量测序/file/测试/3.classify/barcode22_report.tsv
